Topic,X,Y
robot_0,0.28,-0.32
robot_0,1.8,0.03
robot_0,1.38,0.59
robot_0,0.9,0.05
robot_0,3.29,-0.62
robot_0,2.23,0.57
robot_0,0.9,0.05
robot_0,0.28,-0.32
robot_0,0.28,-0.32
robot_0,0.47,0.29
robot_0,0.28,-0.32
robot_0,0.8,3.3
robot_0,0.8,3.3
robot_0,-1.08,-0.2
robot_0,0.28,-0.32
robot_0,1.8,0.03
robot_0,-2.37,-0.5
robot_1,1.38,0.58
robot_1,1.48,0.59
robot_1,1.86,0.62
robot_1,1.6,1.6
robot_1,1.17,2.26
robot_1,1.86,0.62
robot_1,2.13,0.85
robot_1,1.86,0.62
robot_1,2.62,0.33
robot_1,1.86,0.62
robot_1,2.65,0.29
robot_1,1.86,0.62
robot_1,-0.4,0.32
robot_1,1.38,0.58
robot_1,1.48,0.59
robot_1,1.86,0.62
robot_1,1.6,1.6
robot_1,1.17,2.26
robot_1,1.86,0.62
robot_1,2.13,0.85
robot_1,1.86,0.62
robot_1,2.62,0.33
robot_1,1.86,0.62
robot_1,2.65,0.29
robot_1,1.86,0.62
robot_1,-0.4,0.32
robot_1,3.36,-0.35
robot_1,1.38,0.58
robot_1,1.48,0.59
robot_1,1.86,0.62
robot_1,1.6,1.6
robot_1,1.17,2.26
robot_1,1.86,0.62
robot_1,2.13,0.85
robot_1,1.86,0.62
robot_1,2.62,0.33
robot_1,1.86,0.62
robot_1,2.65,0.29
robot_1,1.86,0.62
robot_1,-0.4,0.32
robot_1,3.36,-0.35
robot_1,-0.94,0.26
robot_1,1.38,0.58
robot_1,1.48,0.59
robot_1,1.86,0.62
robot_1,1.6,1.6
robot_1,1.17,2.26
robot_1,1.86,0.62
robot_1,2.13,0.85
robot_1,1.86,0.62
robot_1,2.62,0.33
robot_1,1.86,0.62
robot_1,2.65,0.29
robot_1,1.86,0.62
robot_1,-0.4,0.32
robot_1,3.36,-0.35
robot_1,-0.94,0.26
robot_1,3.9,-4.1
robot_0,1.38,0.59
robot_0,0.9,0.05
robot_0,3.29,-0.62
robot_0,2.23,0.57
robot_0,0.9,0.05
robot_0,0.28,-0.32
robot_0,0.28,-0.32
robot_0,0.47,0.29
robot_0,0.28,-0.32
robot_0,0.8,3.3
robot_0,0.8,3.3
robot_0,-1.08,-0.2
robot_0,0.28,-0.32
robot_0,1.8,0.03
robot_0,1.38,0.59
robot_0,0.9,0.05
robot_0,3.29,-0.62
robot_0,2.23,0.57
robot_0,0.9,0.05
robot_0,0.28,-0.32
robot_0,0.28,-0.32
robot_0,0.47,0.29
robot_0,0.28,-0.32
robot_0,0.8,3.3
robot_0,0.8,3.3
robot_0,-1.08,-0.2
robot_0,0.28,-0.32
robot_0,1.8,0.03
robot_0,-2.37,-0.5
robot_0,1.38,0.59
robot_0,0.9,0.05
robot_0,3.29,-0.62
robot_0,2.23,0.57
robot_0,0.9,0.05
robot_0,0.28,-0.32
robot_0,0.28,-0.32
robot_0,0.47,0.29
robot_0,0.28,-0.32
robot_0,0.8,3.3
robot_0,0.8,3.3
robot_0,-1.08,-0.2
robot_0,0.28,-0.32
robot_0,1.8,0.03
robot_0,-2.37,-0.5
robot_0,4.16,0.64
robot_1,1.38,0.58
robot_1,1.48,0.59
robot_1,1.86,0.62
robot_1,1.6,1.6
robot_1,1.17,2.26
robot_1,1.86,0.62
robot_1,2.13,0.85
robot_1,1.86,0.62
robot_1,2.62,0.33
robot_1,1.86,0.62
robot_1,2.65,0.29
robot_1,1.86,0.62
robot_1,-0.4,0.32
robot_1,1.38,0.58
robot_1,1.48,0.59
robot_1,1.86,0.62
robot_1,1.6,1.6
robot_1,1.17,2.26
robot_1,1.86,0.62
robot_1,2.13,0.85
robot_1,1.86,0.62
robot_1,2.62,0.33
robot_1,1.86,0.62
robot_1,2.65,0.29
robot_1,1.86,0.62
robot_1,-0.4,0.32
robot_1,3.36,-0.35
robot_1,1.38,0.58
robot_1,1.48,0.59
robot_1,1.86,0.62
robot_1,1.6,1.6
robot_1,1.17,2.26
robot_1,1.86,0.62
robot_1,2.13,0.85
robot_1,1.86,0.62
robot_1,2.62,0.33
robot_1,1.86,0.62
robot_1,2.65,0.29
robot_1,1.86,0.62
robot_1,-0.4,0.32
robot_1,3.36,-0.35
robot_1,-0.94,0.26
robot_1,1.38,0.58
robot_1,1.48,0.59
robot_1,1.86,0.62
robot_1,1.6,1.6
robot_1,1.17,2.26
robot_1,1.86,0.62
robot_1,2.13,0.85
robot_1,1.86,0.62
robot_1,2.62,0.33
robot_1,1.86,0.62
robot_1,2.65,0.29
robot_1,1.86,0.62
robot_1,-0.4,0.32
robot_1,3.36,-0.35
robot_1,-0.94,0.26
robot_1,3.9,-4.1
robot_1,1.38,0.58
robot_1,1.48,0.59
robot_1,1.86,0.62
robot_1,1.6,1.6
robot_1,1.17,2.26
robot_1,1.86,0.62
robot_1,2.13,0.85
robot_1,1.86,0.62
robot_1,2.62,0.33
robot_1,1.86,0.62
robot_1,2.65,0.29
robot_1,1.86,0.62
robot_1,-0.4,0.32
robot_1,3.36,-0.35
robot_1,-0.94,0.26
robot_1,3.9,-4.1
robot_1,4.7,-2.3
robot_0,1.38,0.59
robot_0,0.9,0.05
robot_0,3.29,-0.62
robot_0,2.23,0.57
robot_0,0.9,0.05
robot_0,0.28,-0.32
robot_0,0.28,-0.32
robot_0,0.47,0.29
robot_0,0.28,-0.32
robot_0,0.8,3.3
robot_0,0.8,3.3
robot_0,-1.08,-0.2
robot_0,0.28,-0.32
robot_0,1.8,0.03
robot_0,1.38,0.59
robot_0,0.9,0.05
robot_0,3.29,-0.62
robot_0,2.23,0.57
robot_0,0.9,0.05
robot_0,0.28,-0.32
robot_0,0.28,-0.32
robot_0,0.47,0.29
robot_0,0.28,-0.32
robot_0,0.8,3.3
robot_0,0.8,3.3
robot_0,-1.08,-0.2
robot_0,0.28,-0.32
robot_0,1.8,0.03
robot_0,-2.37,-0.5
robot_0,1.38,0.59
robot_0,0.9,0.05
robot_0,3.29,-0.62
robot_0,2.23,0.57
robot_0,0.9,0.05
robot_0,0.28,-0.32
robot_0,0.28,-0.32
robot_0,0.47,0.29
robot_0,0.28,-0.32
robot_0,0.8,3.3
robot_0,0.8,3.3
robot_0,-1.08,-0.2
robot_0,0.28,-0.32
robot_0,1.8,0.03
robot_0,-2.37,-0.5
robot_0,4.16,0.64
robot_0,1.38,0.59
robot_0,0.9,0.05
robot_0,3.29,-0.62
robot_0,2.23,0.57
robot_0,0.9,0.05
robot_0,0.28,-0.32
robot_0,0.28,-0.32
robot_0,0.47,0.29
robot_0,0.28,-0.32
robot_0,0.8,3.3
robot_0,0.8,3.3
robot_0,-1.08,-0.2
robot_0,0.28,-0.32
robot_0,1.8,0.03
robot_0,-2.37,-0.5
robot_0,4.16,0.64
robot_0,-2.01,-0.5
robot_1,1.38,0.58
robot_1,1.48,0.59
robot_1,1.86,0.62
robot_1,1.6,1.6
robot_1,1.17,2.26
robot_1,1.86,0.62
robot_1,2.13,0.85
robot_1,1.86,0.62
robot_1,2.62,0.33
robot_1,1.86,0.62
robot_1,2.65,0.29
robot_1,1.86,0.62
robot_1,-0.4,0.32
robot_1,1.38,0.58
robot_1,1.48,0.59
robot_1,1.86,0.62
robot_1,1.6,1.6
robot_1,1.17,2.26
robot_1,1.86,0.62
robot_1,2.13,0.85
robot_1,1.86,0.62
robot_1,2.62,0.33
robot_1,1.86,0.62
robot_1,2.65,0.29
robot_1,1.86,0.62
robot_1,-0.4,0.32
robot_1,3.36,-0.35
robot_1,1.38,0.58
robot_1,1.48,0.59
robot_1,1.86,0.62
robot_1,1.6,1.6
robot_1,1.17,2.26
robot_1,1.86,0.62
robot_1,2.13,0.85
robot_1,1.86,0.62
robot_1,2.62,0.33
robot_1,1.86,0.62
robot_1,2.65,0.29
robot_1,1.86,0.62
robot_1,-0.4,0.32
robot_1,3.36,-0.35
robot_1,-0.94,0.26
robot_1,1.38,0.58
robot_1,1.48,0.59
robot_1,1.86,0.62
robot_1,1.6,1.6
robot_1,1.17,2.26
robot_1,1.86,0.62
robot_1,2.13,0.85
robot_1,1.86,0.62
robot_1,2.62,0.33
robot_1,1.86,0.62
robot_1,2.65,0.29
robot_1,1.86,0.62
robot_1,-0.4,0.32
robot_1,3.36,-0.35
robot_1,-0.94,0.26
robot_1,3.9,-4.1
robot_1,1.38,0.58
robot_1,1.48,0.59
robot_1,1.86,0.62
robot_1,1.6,1.6
robot_1,1.17,2.26
robot_1,1.86,0.62
robot_1,2.13,0.85
robot_1,1.86,0.62
robot_1,2.62,0.33
robot_1,1.86,0.62
robot_1,2.65,0.29
robot_1,1.86,0.62
robot_1,-0.4,0.32
robot_1,3.36,-0.35
robot_1,-0.94,0.26
robot_1,3.9,-4.1
robot_1,4.7,-2.3
robot_1,1.38,0.58
robot_1,1.48,0.59
robot_1,1.86,0.62
robot_1,1.6,1.6
robot_1,1.17,2.26
robot_1,1.86,0.62
robot_1,2.13,0.85
robot_1,1.86,0.62
robot_1,2.62,0.33
robot_1,1.86,0.62
robot_1,2.65,0.29
robot_1,1.86,0.62
robot_1,-0.4,0.32
robot_1,3.36,-0.35
robot_1,-0.94,0.26
robot_1,3.9,-4.1
robot_1,4.7,-2.3
robot_1,-3.61,-0.82
