Topic,X,Y
robot_0,0.29,-0.07
robot_0,2.71,-0.25
robot_0,3.72,-1.71
robot_0,5.7,0.7
robot_0,2.71,-0.25
robot_0,4.0,0.74
robot_0,2.71,-0.25
robot_0,-0.3,0.12
robot_0,-1.7,-0.3
robot_0,2.9,2.2
robot_1,1.47,0.44
robot_1,1.47,0.44
robot_1,2.71,-0.25
robot_1,1.65,0.35
robot_1,1.47,0.44
robot_1,3.45,-1.4
robot_1,1.47,0.44
robot_1,1.67,0.55
robot_1,1.47,0.44
robot_1,3.85,-2.35
robot_1,2.71,-0.25
robot_1,0.71,-0.03
robot_1,2.71,-0.25
robot_1,1.5,-0.0
robot_1,1.47,0.44
robot_1,1.47,0.44
robot_1,2.71,-0.25
robot_1,1.65,0.35
robot_1,1.47,0.44
robot_1,3.45,-1.4
robot_1,1.47,0.44
robot_1,1.67,0.55
robot_1,1.47,0.44
robot_1,3.85,-2.35
robot_1,2.71,-0.25
robot_1,0.71,-0.03
robot_1,2.71,-0.25
robot_1,1.5,-0.0
robot_1,-0.7,0.83
robot_1,1.47,0.44
robot_1,1.47,0.44
robot_1,2.71,-0.25
robot_1,1.65,0.35
robot_1,1.47,0.44
robot_1,3.45,-1.4
robot_1,1.47,0.44
robot_1,1.67,0.55
robot_1,1.47,0.44
robot_1,3.85,-2.35
robot_1,2.71,-0.25
robot_1,0.71,-0.03
robot_1,2.71,-0.25
robot_1,1.5,-0.0
robot_1,-0.7,0.83
robot_1,-2.1,-2.0
robot_0,0.29,-0.07
robot_0,2.71,-0.25
robot_0,3.72,-1.71
robot_0,5.7,0.7
robot_0,2.71,-0.25
robot_0,4.0,0.74
robot_0,2.71,-0.25
robot_0,-0.3,0.12
robot_0,0.29,-0.07
robot_0,2.71,-0.25
robot_0,3.72,-1.71
robot_0,5.7,0.7
robot_0,2.71,-0.25
robot_0,4.0,0.74
robot_0,2.71,-0.25
robot_0,-0.3,0.12
robot_0,-1.7,-0.3
robot_0,0.29,-0.07
robot_0,2.71,-0.25
robot_0,3.72,-1.71
robot_0,5.7,0.7
robot_0,2.71,-0.25
robot_0,4.0,0.74
robot_0,2.71,-0.25
robot_0,-0.3,0.12
robot_0,-1.7,-0.3
robot_0,2.9,2.2
robot_0,0.29,-0.07
robot_0,2.71,-0.25
robot_0,3.72,-1.71
robot_0,5.7,0.7
robot_0,2.71,-0.25
robot_0,4.0,0.74
robot_0,2.71,-0.25
robot_0,-0.3,0.12
robot_0,-1.7,-0.3
robot_0,2.9,2.2
robot_0,0.53,4.19
robot_1,1.47,0.44
robot_1,1.47,0.44
robot_1,2.71,-0.25
robot_1,1.65,0.35
robot_1,1.47,0.44
robot_1,3.45,-1.4
robot_1,1.47,0.44
robot_1,1.67,0.55
robot_1,1.47,0.44
robot_1,3.85,-2.35
robot_1,2.71,-0.25
robot_1,0.71,-0.03
robot_1,2.71,-0.25
robot_1,1.5,-0.0
robot_1,1.47,0.44
robot_1,1.47,0.44
robot_1,2.71,-0.25
robot_1,1.65,0.35
robot_1,1.47,0.44
robot_1,3.45,-1.4
robot_1,1.47,0.44
robot_1,1.67,0.55
robot_1,1.47,0.44
robot_1,3.85,-2.35
robot_1,2.71,-0.25
robot_1,0.71,-0.03
robot_1,2.71,-0.25
robot_1,1.5,-0.0
robot_1,-0.7,0.83
robot_1,1.47,0.44
robot_1,1.47,0.44
robot_1,2.71,-0.25
robot_1,1.65,0.35
robot_1,1.47,0.44
robot_1,3.45,-1.4
robot_1,1.47,0.44
robot_1,1.67,0.55
robot_1,1.47,0.44
robot_1,3.85,-2.35
robot_1,2.71,-0.25
robot_1,0.71,-0.03
robot_1,2.71,-0.25
robot_1,1.5,-0.0
robot_1,-0.7,0.83
robot_1,-2.1,-2.0
robot_1,1.47,0.44
robot_1,1.47,0.44
robot_1,2.71,-0.25
robot_1,1.65,0.35
robot_1,1.47,0.44
robot_1,3.45,-1.4
robot_1,1.47,0.44
robot_1,1.67,0.55
robot_1,1.47,0.44
robot_1,3.85,-2.35
robot_1,2.71,-0.25
robot_1,0.71,-0.03
robot_1,2.71,-0.25
robot_1,1.5,-0.0
robot_1,-0.7,0.83
robot_1,-2.1,-2.0
robot_1,0.9,2.5
robot_0,0.29,-0.07
robot_0,2.71,-0.25
robot_0,3.72,-1.71
robot_0,5.7,0.7
robot_0,2.71,-0.25
robot_0,4.0,0.74
robot_0,2.71,-0.25
robot_0,-0.3,0.12
robot_0,0.29,-0.07
robot_0,2.71,-0.25
robot_0,3.72,-1.71
robot_0,5.7,0.7
robot_0,2.71,-0.25
robot_0,4.0,0.74
robot_0,2.71,-0.25
robot_0,-0.3,0.12
robot_0,-1.7,-0.3
robot_0,0.29,-0.07
robot_0,2.71,-0.25
robot_0,3.72,-1.71
robot_0,5.7,0.7
robot_0,2.71,-0.25
robot_0,4.0,0.74
robot_0,2.71,-0.25
robot_0,-0.3,0.12
robot_0,-1.7,-0.3
robot_0,2.9,2.2
robot_0,0.29,-0.07
robot_0,2.71,-0.25
robot_0,3.72,-1.71
robot_0,5.7,0.7
robot_0,2.71,-0.25
robot_0,4.0,0.74
robot_0,2.71,-0.25
robot_0,-0.3,0.12
robot_0,-1.7,-0.3
robot_0,2.9,2.2
robot_0,0.53,4.19
robot_0,0.29,-0.07
robot_0,2.71,-0.25
robot_0,3.72,-1.71
robot_0,5.7,0.7
robot_0,2.71,-0.25
robot_0,4.0,0.74
robot_0,2.71,-0.25
robot_0,-0.3,0.12
robot_0,-1.7,-0.3
robot_0,2.9,2.2
robot_0,0.53,4.19
robot_0,1.26,-3.13
robot_1,1.47,0.44
robot_1,1.47,0.44
robot_1,2.71,-0.25
robot_1,1.65,0.35
robot_1,1.47,0.44
robot_1,3.45,-1.4
robot_1,1.47,0.44
robot_1,1.67,0.55
robot_1,1.47,0.44
robot_1,3.85,-2.35
robot_1,2.71,-0.25
robot_1,0.71,-0.03
robot_1,2.71,-0.25
robot_1,1.5,-0.0
robot_1,1.47,0.44
robot_1,1.47,0.44
robot_1,2.71,-0.25
robot_1,1.65,0.35
robot_1,1.47,0.44
robot_1,3.45,-1.4
robot_1,1.47,0.44
robot_1,1.67,0.55
robot_1,1.47,0.44
robot_1,3.85,-2.35
robot_1,2.71,-0.25
robot_1,0.71,-0.03
robot_1,2.71,-0.25
robot_1,1.5,-0.0
robot_1,-0.7,0.83
robot_1,1.47,0.44
robot_1,1.47,0.44
robot_1,2.71,-0.25
robot_1,1.65,0.35
robot_1,1.47,0.44
robot_1,3.45,-1.4
robot_1,1.47,0.44
robot_1,1.67,0.55
robot_1,1.47,0.44
robot_1,3.85,-2.35
robot_1,2.71,-0.25
robot_1,0.71,-0.03
robot_1,2.71,-0.25
robot_1,1.5,-0.0
robot_1,-0.7,0.83
robot_1,-2.1,-2.0
robot_1,1.47,0.44
robot_1,1.47,0.44
robot_1,2.71,-0.25
robot_1,1.65,0.35
robot_1,1.47,0.44
robot_1,3.45,-1.4
robot_1,1.47,0.44
robot_1,1.67,0.55
robot_1,1.47,0.44
robot_1,3.85,-2.35
robot_1,2.71,-0.25
robot_1,0.71,-0.03
robot_1,2.71,-0.25
robot_1,1.5,-0.0
robot_1,-0.7,0.83
robot_1,-2.1,-2.0
robot_1,0.9,2.5
robot_1,1.47,0.44
robot_1,1.47,0.44
robot_1,2.71,-0.25
robot_1,1.65,0.35
robot_1,1.47,0.44
robot_1,3.45,-1.4
robot_1,1.47,0.44
robot_1,1.67,0.55
robot_1,1.47,0.44
robot_1,3.85,-2.35
robot_1,2.71,-0.25
robot_1,0.71,-0.03
robot_1,2.71,-0.25
robot_1,1.5,-0.0
robot_1,-0.7,0.83
robot_1,-2.1,-2.0
robot_1,0.9,2.5
robot_1,-1.24,0.35
robot_0,0.29,-0.07
robot_0,2.71,-0.25
robot_0,3.72,-1.71
robot_0,5.7,0.7
robot_0,2.71,-0.25
robot_0,4.0,0.74
robot_0,2.71,-0.25
robot_0,-0.3,0.12
robot_0,-1.7,-0.3
robot_0,2.9,2.2
robot_0,0.53,4.19
robot_0,1.26,-3.13
robot_0,1.26,-3.13
robot_0,-1.5,3.4
