Topic,X,Y
robot_1,4.4,-0.9
robot_1,1.06,0.5
robot_1,0.82,0.74
robot_1,0.76,0.81
robot_1,1.6,4.05
robot_1,6.2,2.05
robot_1,4.4,-0.9
robot_1,1.06,0.5
robot_1,0.1,0.9
robot_1,0.82,0.74
robot_1,0.76,0.81
robot_1,1.6,4.05
robot_1,6.2,2.05
robot_1,4.4,-0.9
robot_1,1.06,0.5
robot_1,0.1,0.9
robot_1,-0.1,4.69
robot_1,0.82,0.74
robot_1,0.76,0.81
robot_1,1.6,4.05
robot_1,6.2,2.05
robot_1,4.4,-0.9
robot_1,1.06,0.5
robot_1,0.1,0.9
robot_1,-0.1,4.69
robot_1,5.94,2.69
robot_1,0.82,0.74
robot_1,0.76,0.81
robot_1,1.6,4.05
robot_1,6.2,2.05
robot_1,4.4,-0.9
robot_1,1.06,0.5
robot_1,0.1,0.9
robot_1,-0.1,4.69
robot_1,5.94,2.69
robot_1,7.88,-1.9
robot_1,0.82,0.74
robot_1,0.82,0.74
robot_1,0.76,0.81
robot_1,0.82,0.74
robot_1,0.76,0.81
robot_1,1.6,4.05
robot_1,0.82,0.74
robot_1,0.76,0.81
robot_1,1.6,4.05
robot_1,6.2,2.05
robot_1,0.82,0.74
robot_1,0.76,0.81
robot_1,1.6,4.05
robot_1,6.2,2.05
robot_1,4.4,-0.9
robot_1,0.82,0.74
robot_1,0.76,0.81
robot_1,1.6,4.05
robot_1,6.2,2.05
robot_1,4.4,-0.9
robot_1,1.06,0.5
robot_1,0.82,0.74
robot_1,0.76,0.81
robot_1,1.6,4.05
robot_1,6.2,2.05
robot_1,4.4,-0.9
robot_1,1.06,0.5
robot_1,0.1,0.9
robot_1,0.82,0.74
robot_1,0.76,0.81
robot_1,1.6,4.05
robot_1,6.2,2.05
robot_1,4.4,-0.9
robot_1,1.06,0.5
robot_1,0.1,0.9
robot_1,-0.1,4.69
robot_1,0.82,0.74
robot_1,0.76,0.81
robot_1,1.6,4.05
robot_1,6.2,2.05
robot_1,4.4,-0.9
robot_1,1.06,0.5
robot_1,0.1,0.9
robot_1,-0.1,4.69
robot_1,5.94,2.69
robot_1,0.82,0.74
robot_1,0.76,0.81
robot_1,1.6,4.05
robot_1,6.2,2.05
robot_1,4.4,-0.9
robot_1,1.06,0.5
robot_1,0.1,0.9
robot_1,-0.1,4.69
robot_1,5.94,2.69
robot_1,7.88,-1.9
robot_1,0.82,0.74
robot_1,0.76,0.81
robot_1,1.6,4.05
robot_1,6.2,2.05
robot_1,4.4,-0.9
robot_1,1.06,0.5
robot_1,0.1,0.9
robot_1,-0.1,4.69
robot_1,5.94,2.69
robot_1,7.88,-1.9
robot_1,4.08,1.73
robot_1,0.82,0.74
robot_1,0.82,0.74
robot_1,0.76,0.81
robot_1,0.82,0.74
robot_1,0.76,0.81
robot_1,1.6,4.05
robot_1,0.82,0.74
robot_1,0.76,0.81
robot_1,1.6,4.05
robot_1,6.2,2.05
robot_1,0.82,0.74
robot_1,0.76,0.81
robot_1,1.6,4.05
robot_1,6.2,2.05
robot_1,4.4,-0.9
robot_1,0.82,0.74
robot_1,0.76,0.81
robot_1,1.6,4.05
robot_1,6.2,2.05
robot_1,4.4,-0.9
robot_1,1.06,0.5
robot_1,0.82,0.74
robot_1,0.76,0.81
robot_1,1.6,4.05
robot_1,6.2,2.05
robot_1,4.4,-0.9
robot_1,1.06,0.5
robot_1,0.1,0.9
robot_1,0.82,0.74
robot_1,0.76,0.81
robot_1,1.6,4.05
robot_1,6.2,2.05
robot_1,4.4,-0.9
robot_1,1.06,0.5
robot_1,0.1,0.9
robot_1,-0.1,4.69
robot_1,0.82,0.74
robot_1,0.76,0.81
robot_1,1.6,4.05
robot_1,6.2,2.05
robot_1,4.4,-0.9
robot_1,1.06,0.5
robot_1,0.1,0.9
robot_1,-0.1,4.69
robot_1,5.94,2.69
robot_1,0.82,0.74
robot_1,0.76,0.81
robot_1,1.6,4.05
robot_1,6.2,2.05
robot_1,4.4,-0.9
robot_1,1.06,0.5
robot_1,0.1,0.9
robot_1,-0.1,4.69
robot_1,5.94,2.69
robot_1,7.88,-1.9
robot_1,0.82,0.74
robot_1,0.76,0.81
robot_1,1.6,4.05
robot_1,6.2,2.05
robot_1,4.4,-0.9
robot_1,1.06,0.5
robot_1,0.1,0.9
robot_1,-0.1,4.69
robot_1,5.94,2.69
robot_1,7.88,-1.9
robot_1,4.08,1.73
robot_1,0.82,0.74
robot_1,0.76,0.81
robot_1,1.6,4.05
robot_1,6.2,2.05
robot_1,4.4,-0.9
robot_1,1.06,0.5
robot_1,0.1,0.9
robot_1,-0.1,4.69
robot_1,5.94,2.69
robot_1,7.88,-1.9
robot_1,4.08,1.73
robot_1,-0.1,4.69
robot_1,0.82,0.74
robot_1,0.82,0.74
robot_1,0.76,0.81
robot_1,0.82,0.74
robot_1,0.76,0.81
robot_1,1.6,4.05
robot_1,0.82,0.74
robot_1,0.76,0.81
robot_1,1.6,4.05
robot_1,6.2,2.05
robot_1,0.82,0.74
robot_1,0.76,0.81
robot_1,1.6,4.05
robot_1,6.2,2.05
robot_1,4.4,-0.9
robot_1,0.82,0.74
robot_1,0.76,0.81
robot_1,1.6,4.05
robot_1,6.2,2.05
robot_1,4.4,-0.9
robot_1,1.06,0.5
robot_1,0.82,0.74
robot_1,0.76,0.81
robot_1,1.6,4.05
robot_1,6.2,2.05
robot_1,4.4,-0.9
robot_1,1.06,0.5
robot_1,0.1,0.9
robot_1,0.82,0.74
robot_1,0.76,0.81
robot_1,1.6,4.05
robot_1,6.2,2.05
robot_1,4.4,-0.9
robot_1,1.06,0.5
robot_1,0.1,0.9
robot_1,-0.1,4.69
robot_1,0.82,0.74
robot_1,0.76,0.81
robot_1,1.6,4.05
robot_1,6.2,2.05
robot_1,4.4,-0.9
robot_1,1.06,0.5
robot_1,0.1,0.9
robot_1,-0.1,4.69
robot_1,5.94,2.69
robot_1,0.82,0.74
robot_1,0.76,0.81
robot_1,1.6,4.05
robot_1,6.2,2.05
robot_1,4.4,-0.9
robot_1,1.06,0.5
robot_1,0.1,0.9
robot_1,-0.1,4.69
robot_1,5.94,2.69
robot_1,7.88,-1.9
robot_1,0.82,0.74
robot_1,0.76,0.81
robot_1,1.6,4.05
robot_1,6.2,2.05
robot_1,4.4,-0.9
robot_1,1.06,0.5
robot_1,0.1,0.9
robot_1,-0.1,4.69
robot_1,5.94,2.69
robot_1,7.88,-1.9
robot_1,4.08,1.73
robot_1,0.82,0.74
robot_1,0.76,0.81
robot_1,1.6,4.05
robot_1,6.2,2.05
robot_1,4.4,-0.9
robot_1,1.06,0.5
robot_1,0.1,0.9
robot_1,-0.1,4.69
robot_1,5.94,2.69
robot_1,7.88,-1.9
robot_1,4.08,1.73
robot_1,-0.1,4.69
robot_1,0.82,0.74
robot_1,0.76,0.81
robot_1,1.6,4.05
robot_1,6.2,2.05
robot_1,4.4,-0.9
robot_1,1.06,0.5
robot_1,0.1,0.9
robot_1,-0.1,4.69
robot_1,5.94,2.69
robot_1,7.88,-1.9
robot_1,4.08,1.73
robot_1,-0.1,4.69
robot_1,4.08,1.73
robot_1,0.82,0.74
robot_1,0.82,0.74
robot_1,0.76,0.81
robot_1,0.82,0.74
robot_1,0.76,0.81
robot_1,1.6,4.05
robot_1,0.82,0.74
robot_1,0.76,0.81
robot_1,1.6,4.05
robot_1,6.2,2.05
robot_1,0.82,0.74
robot_1,0.76,0.81
robot_1,1.6,4.05
robot_1,6.2,2.05
robot_1,4.4,-0.9
robot_1,0.82,0.74
robot_1,0.76,0.81
robot_1,1.6,4.05
robot_1,6.2,2.05
robot_1,4.4,-0.9
robot_1,1.06,0.5
robot_1,0.82,0.74
robot_1,0.76,0.81
robot_1,1.6,4.05
robot_1,6.2,2.05
robot_1,4.4,-0.9
robot_1,1.06,0.5
robot_1,0.1,0.9
robot_1,0.82,0.74
robot_1,0.76,0.81
robot_1,1.6,4.05
robot_1,6.2,2.05
robot_1,4.4,-0.9
robot_1,1.06,0.5
robot_1,0.1,0.9
robot_1,-0.1,4.69
robot_1,0.82,0.74
robot_1,0.76,0.81
robot_1,1.6,4.05
robot_1,6.2,2.05
robot_1,4.4,-0.9
robot_1,1.06,0.5
robot_1,0.1,0.9
robot_1,-0.1,4.69
robot_1,5.94,2.69
robot_1,0.82,0.74
robot_1,0.76,0.81
robot_1,1.6,4.05
robot_1,6.2,2.05
robot_1,4.4,-0.9
robot_1,1.06,0.5
robot_1,0.1,0.9
robot_1,-0.1,4.69
robot_1,5.94,2.69
robot_1,7.88,-1.9
robot_1,0.82,0.74
robot_1,0.76,0.81
robot_1,1.6,4.05
robot_1,6.2,2.05
robot_1,4.4,-0.9
robot_1,1.06,0.5
robot_1,0.1,0.9
robot_1,-0.1,4.69
robot_1,5.94,2.69
robot_1,7.88,-1.9
robot_1,4.08,1.73
robot_1,0.82,0.74
robot_1,0.76,0.81
robot_1,1.6,4.05
robot_1,6.2,2.05
robot_1,4.4,-0.9
robot_1,1.06,0.5
robot_1,0.1,0.9
robot_1,-0.1,4.69
robot_1,5.94,2.69
robot_1,7.88,-1.9
robot_1,4.08,1.73
robot_1,-0.1,4.69
robot_1,0.82,0.74
robot_1,0.76,0.81
robot_1,1.6,4.05
robot_1,6.2,2.05
robot_1,4.4,-0.9
robot_1,1.06,0.5
robot_1,0.1,0.9
robot_1,-0.1,4.69
robot_1,5.94,2.69
robot_1,7.88,-1.9
robot_1,4.08,1.73
robot_1,-0.1,4.69
robot_1,4.08,1.73
robot_1,0.82,0.74
robot_1,0.76,0.81
robot_1,1.6,4.05
robot_1,6.2,2.05
robot_1,4.4,-0.9
robot_1,1.06,0.5
robot_1,0.1,0.9
robot_1,-0.1,4.69
robot_1,5.94,2.69
robot_1,7.88,-1.9
robot_1,4.08,1.73
robot_1,-0.1,4.69
robot_1,4.08,1.73
robot_1,4.08,1.73
