Topic,X,Y
robot_1,1.78,-0.99
robot_1,1.04,0.72
robot_1,0.86,0.84
robot_1,1.91,1.09
robot_1,3.01,1.59
robot_1,1.78,-0.99
robot_1,3.44,1.07
robot_1,1.04,0.72
robot_1,0.86,0.84
robot_1,1.91,1.09
robot_1,3.01,1.59
robot_1,1.78,-0.99
robot_1,3.44,1.07
robot_1,3.64,1.09
robot_1,1.04,0.72
robot_1,1.04,0.72
robot_1,0.86,0.84
robot_1,1.04,0.72
robot_1,0.86,0.84
robot_1,1.91,1.09
robot_1,1.04,0.72
robot_1,0.86,0.84
robot_1,1.91,1.09
robot_1,3.01,1.59
robot_1,1.04,0.72
robot_1,0.86,0.84
robot_1,1.91,1.09
robot_1,3.01,1.59
robot_1,1.78,-0.99
robot_1,1.04,0.72
robot_1,0.86,0.84
robot_1,1.91,1.09
robot_1,3.01,1.59
robot_1,1.78,-0.99
robot_1,3.44,1.07
robot_1,1.04,0.72
robot_1,0.86,0.84
robot_1,1.91,1.09
robot_1,3.01,1.59
robot_1,1.78,-0.99
robot_1,3.44,1.07
robot_1,3.64,1.09
robot_1,1.04,0.72
robot_1,0.86,0.84
robot_1,1.91,1.09
robot_1,3.01,1.59
robot_1,1.78,-0.99
robot_1,3.44,1.07
robot_1,3.64,1.09
robot_1,5.9,2.47
robot_0,-0.2,4.6
robot_0,-0.2,4.6
robot_0,0.8,2.3
robot_0,-0.2,4.6
robot_0,0.8,2.3
robot_0,6.5,0.7
robot_0,-0.2,4.6
robot_0,0.8,2.3
robot_0,6.5,0.7
robot_0,6.4,2.3
robot_1,1.04,0.72
robot_1,1.04,0.72
robot_1,0.86,0.84
robot_1,1.04,0.72
robot_1,0.86,0.84
robot_1,1.91,1.09
robot_1,1.04,0.72
robot_1,0.86,0.84
robot_1,1.91,1.09
robot_1,3.01,1.59
robot_1,1.04,0.72
robot_1,0.86,0.84
robot_1,1.91,1.09
robot_1,3.01,1.59
robot_1,1.78,-0.99
robot_1,1.04,0.72
robot_1,0.86,0.84
robot_1,1.91,1.09
robot_1,3.01,1.59
robot_1,1.78,-0.99
robot_1,3.44,1.07
robot_1,1.04,0.72
robot_1,0.86,0.84
robot_1,1.91,1.09
robot_1,3.01,1.59
robot_1,1.78,-0.99
robot_1,3.44,1.07
robot_1,3.64,1.09
robot_1,1.04,0.72
robot_1,0.86,0.84
robot_1,1.91,1.09
robot_1,3.01,1.59
robot_1,1.78,-0.99
robot_1,3.44,1.07
robot_1,3.64,1.09
robot_1,5.9,2.47
robot_1,1.04,0.72
robot_1,0.86,0.84
robot_1,1.91,1.09
robot_1,3.01,1.59
robot_1,1.78,-0.99
robot_1,3.44,1.07
robot_1,3.64,1.09
robot_1,5.9,2.47
robot_1,7.9,1.5
robot_0,-0.2,4.6
robot_0,-0.2,4.6
robot_0,0.8,2.3
robot_0,-0.2,4.6
robot_0,0.8,2.3
robot_0,6.5,0.7
robot_0,-0.2,4.6
robot_0,0.8,2.3
robot_0,6.5,0.7
robot_0,6.4,2.3
robot_0,-0.2,4.6
robot_0,0.8,2.3
robot_0,6.5,0.7
robot_0,6.4,2.3
robot_0,5.4,1.4
robot_1,1.04,0.72
robot_1,1.04,0.72
robot_1,0.86,0.84
robot_1,1.04,0.72
robot_1,0.86,0.84
robot_1,1.91,1.09
robot_1,1.04,0.72
robot_1,0.86,0.84
robot_1,1.91,1.09
robot_1,3.01,1.59
robot_1,1.04,0.72
robot_1,0.86,0.84
robot_1,1.91,1.09
robot_1,3.01,1.59
robot_1,1.78,-0.99
robot_1,1.04,0.72
robot_1,0.86,0.84
robot_1,1.91,1.09
robot_1,3.01,1.59
robot_1,1.78,-0.99
robot_1,3.44,1.07
robot_1,1.04,0.72
robot_1,0.86,0.84
robot_1,1.91,1.09
robot_1,3.01,1.59
robot_1,1.78,-0.99
robot_1,3.44,1.07
robot_1,3.64,1.09
robot_1,1.04,0.72
robot_1,0.86,0.84
robot_1,1.91,1.09
robot_1,3.01,1.59
robot_1,1.78,-0.99
robot_1,3.44,1.07
robot_1,3.64,1.09
robot_1,5.9,2.47
robot_1,1.04,0.72
robot_1,0.86,0.84
robot_1,1.91,1.09
robot_1,3.01,1.59
robot_1,1.78,-0.99
robot_1,3.44,1.07
robot_1,3.64,1.09
robot_1,5.9,2.47
robot_1,7.9,1.5
robot_1,1.04,0.72
robot_1,0.86,0.84
robot_1,1.91,1.09
robot_1,3.01,1.59
robot_1,1.78,-0.99
robot_1,3.44,1.07
robot_1,3.64,1.09
robot_1,5.9,2.47
robot_1,7.9,1.5
robot_1,5.57,0.36
robot_0,-0.2,4.6
robot_0,-0.2,4.6
robot_0,0.8,2.3
robot_0,-0.2,4.6
robot_0,0.8,2.3
robot_0,6.5,0.7
robot_0,-0.2,4.6
robot_0,0.8,2.3
robot_0,6.5,0.7
robot_0,6.4,2.3
robot_0,-0.2,4.6
robot_0,0.8,2.3
robot_0,6.5,0.7
robot_0,6.4,2.3
robot_0,5.4,1.4
robot_0,-0.2,4.6
robot_0,0.8,2.3
robot_0,6.5,0.7
robot_0,6.4,2.3
robot_0,5.4,1.4
robot_0,7.45,1.75
