Topic,X,Y
robot_1,2.32,0.53
robot_1,2.17,-0.09
robot_1,-0.9,-0.2
robot_1,-0.9,-0.2
robot_1,-0.34,1.47
robot_0,2.2,-2.4
robot_0,1.98,-0.02
robot_0,4.65,-3.82
robot_0,3.98,-2.52
robot_0,1.98,-0.02
robot_0,4.51,-3.57
robot_0,1.98,-0.02
robot_0,2.45,0.58
robot_0,1.98,-0.02
robot_0,3.6,-0.9
robot_1,1.01,0.44
robot_1,0.87,0.57
robot_1,2.85,1.28
robot_1,1.89,-0.4
robot_1,1.89,-0.4
robot_1,2.56,0.98
robot_1,2.75,0.84
robot_1,2.85,0.92
robot_1,1.6,-0.5
robot_1,2.32,0.53
robot_1,2.17,-0.09
robot_1,-0.9,-0.2
robot_1,-0.9,-0.2
robot_1,-0.34,1.47
robot_1,-0.34,1.47
robot_1,4.63,-3.38
robot_0,2.2,-2.4
robot_0,1.98,-0.02
robot_0,4.65,-3.82
robot_0,3.98,-2.52
robot_0,1.98,-0.02
robot_0,4.51,-3.57
robot_0,1.98,-0.02
robot_0,2.45,0.58
robot_0,1.98,-0.02
robot_0,3.6,-0.9
robot_0,2.2,-2.4
robot_0,1.98,-0.02
robot_0,4.65,-3.82
robot_0,3.98,-2.52
robot_0,1.98,-0.02
robot_0,4.51,-3.57
robot_0,1.98,-0.02
robot_0,2.45,0.58
robot_0,1.98,-0.02
robot_0,3.6,-0.9
robot_0,-2.03,-0.17
robot_1,1.01,0.44
robot_1,0.87,0.57
robot_1,2.85,1.28
robot_1,1.89,-0.4
robot_1,1.89,-0.4
robot_1,2.56,0.98
robot_1,2.75,0.84
robot_1,2.85,0.92
robot_1,1.6,-0.5
robot_1,2.32,0.53
robot_1,2.17,-0.09
robot_1,-0.9,-0.2
robot_1,-0.9,-0.2
robot_1,-0.34,1.47
robot_1,-0.34,1.47
robot_1,4.63,-3.38
robot_1,4.63,-3.38
robot_1,-1.4,2.3
