Topic,X,Y
robot_1,3.3,1.7
robot_1,0.75,-0.39
robot_1,1.13,0.89
robot_1,3.2,1.66
robot_1,3.02,1.45
robot_1,3.3,1.7
robot_1,0.75,-0.39
robot_1,-1.0,-1.95
robot_1,1.13,0.89
robot_1,3.2,1.66
robot_1,3.02,1.45
robot_1,3.3,1.7
robot_1,0.75,-0.39
robot_1,-1.0,-1.95
robot_1,-4.1,0.6
robot_1,1.13,0.89
robot_1,3.2,1.66
robot_1,3.02,1.45
robot_1,3.3,1.7
robot_1,0.75,-0.39
robot_1,-1.0,-1.95
robot_1,-4.1,0.6
robot_1,-3.45,-4.55
robot_0,1.4,4.4
robot_0,1.4,4.4
robot_0,-1.44,1.11
robot_0,1.4,4.4
robot_0,-1.44,1.11
robot_0,6.4,0.4
robot_0,1.4,4.4
robot_0,-1.44,1.11
robot_0,6.4,0.4
robot_0,-0.66,-4.28
robot_1,1.13,0.89
robot_1,1.13,0.89
robot_1,3.2,1.66
robot_1,1.13,0.89
robot_1,3.2,1.66
robot_1,3.02,1.45
robot_1,1.13,0.89
robot_1,3.2,1.66
robot_1,3.02,1.45
robot_1,3.3,1.7
robot_1,1.13,0.89
robot_1,3.2,1.66
robot_1,3.02,1.45
robot_1,3.3,1.7
robot_1,0.75,-0.39
robot_1,1.13,0.89
robot_1,3.2,1.66
robot_1,3.02,1.45
robot_1,3.3,1.7
robot_1,0.75,-0.39
robot_1,-1.0,-1.95
robot_1,1.13,0.89
robot_1,3.2,1.66
robot_1,3.02,1.45
robot_1,3.3,1.7
robot_1,0.75,-0.39
robot_1,-1.0,-1.95
robot_1,-4.1,0.6
robot_1,1.13,0.89
robot_1,3.2,1.66
robot_1,3.02,1.45
robot_1,3.3,1.7
robot_1,0.75,-0.39
robot_1,-1.0,-1.95
robot_1,-4.1,0.6
robot_1,-3.45,-4.55
robot_1,1.13,0.89
robot_1,3.2,1.66
robot_1,3.02,1.45
robot_1,3.3,1.7
robot_1,0.75,-0.39
robot_1,-1.0,-1.95
robot_1,-4.1,0.6
robot_1,-3.45,-4.55
robot_1,-6.4,0.4
robot_0,1.4,4.4
robot_0,1.4,4.4
robot_0,-1.44,1.11
robot_0,1.4,4.4
robot_0,-1.44,1.11
robot_0,6.4,0.4
robot_0,1.4,4.4
robot_0,-1.44,1.11
robot_0,6.4,0.4
robot_0,-0.66,-4.28
robot_0,1.4,4.4
robot_0,-1.44,1.11
robot_0,6.4,0.4
robot_0,-0.66,-4.28
robot_0,-4.37,-0.9
robot_1,1.13,0.89
robot_1,1.13,0.89
robot_1,3.2,1.66
robot_1,1.13,0.89
robot_1,3.2,1.66
robot_1,3.02,1.45
robot_1,1.13,0.89
robot_1,3.2,1.66
robot_1,3.02,1.45
robot_1,3.3,1.7
robot_1,1.13,0.89
robot_1,3.2,1.66
robot_1,3.02,1.45
robot_1,3.3,1.7
robot_1,0.75,-0.39
robot_1,1.13,0.89
robot_1,3.2,1.66
robot_1,3.02,1.45
robot_1,3.3,1.7
robot_1,0.75,-0.39
robot_1,-1.0,-1.95
robot_1,1.13,0.89
robot_1,3.2,1.66
robot_1,3.02,1.45
robot_1,3.3,1.7
robot_1,0.75,-0.39
robot_1,-1.0,-1.95
robot_1,-4.1,0.6
robot_1,1.13,0.89
robot_1,3.2,1.66
robot_1,3.02,1.45
robot_1,3.3,1.7
robot_1,0.75,-0.39
robot_1,-1.0,-1.95
robot_1,-4.1,0.6
robot_1,-3.45,-4.55
robot_1,1.13,0.89
robot_1,3.2,1.66
robot_1,3.02,1.45
robot_1,3.3,1.7
robot_1,0.75,-0.39
robot_1,-1.0,-1.95
robot_1,-4.1,0.6
robot_1,-3.45,-4.55
robot_1,-6.4,0.4
robot_1,1.13,0.89
robot_1,3.2,1.66
robot_1,3.02,1.45
robot_1,3.3,1.7
robot_1,0.75,-0.39
robot_1,-1.0,-1.95
robot_1,-4.1,0.6
robot_1,-3.45,-4.55
robot_1,-6.4,0.4
robot_1,1.59,5.07
