Topic,X,Y
robot_0,1.3,3.55
robot_0,1.78,3.08
robot_0,1.3,3.55
robot_0,3.76,-0.91
robot_0,4.94,2.35
robot_0,2.8,1.0
robot_0,3.36,1.32
robot_0,4.84,1.41
robot_0,4.47,1.47
robot_0,-0.4,0.4
robot_0,1.3,3.55
robot_0,-3.9,-0.7
robot_0,3.7,1.9
robot_0,3.36,1.32
robot_0,4.07,0.63
robot_0,4.94,2.35
robot_0,3.36,1.32
robot_0,4.47,1.47
robot_0,1.3,3.55
robot_0,1.58,2.61
robot_0,1.3,3.55
robot_0,1.78,3.08
robot_0,1.3,3.55
robot_0,3.76,-0.91
robot_0,4.94,2.35
robot_0,2.8,1.0
robot_0,3.36,1.32
robot_0,4.84,1.41
robot_0,4.47,1.47
robot_0,-0.4,0.4
robot_0,1.3,3.55
robot_0,-3.9,-0.7
robot_0,-1.71,3.34
robot_1,1.09,0.3
robot_1,2.0,-0.3
robot_1,1.36,0.21
robot_1,0.88,0.72
robot_1,4.01,-0.38
robot_1,-0.85,3.8
robot_1,5.75,0.9
robot_1,5.75,0.9
robot_1,-1.54,6.33
robot_0,3.7,1.9
robot_0,3.36,1.32
robot_0,4.07,0.63
robot_0,4.94,2.35
robot_0,3.36,1.32
robot_0,4.47,1.47
robot_0,1.3,3.55
robot_0,1.58,2.61
robot_0,1.3,3.55
robot_0,1.78,3.08
robot_0,1.3,3.55
robot_0,3.76,-0.91
robot_0,4.94,2.35
robot_0,2.8,1.0
robot_0,3.36,1.32
robot_0,4.84,1.41
robot_0,4.47,1.47
robot_0,-0.4,0.4
robot_0,1.3,3.55
robot_0,-3.9,-0.7
robot_0,3.7,1.9
robot_0,3.36,1.32
robot_0,4.07,0.63
robot_0,4.94,2.35
robot_0,3.36,1.32
robot_0,4.47,1.47
robot_0,1.3,3.55
robot_0,1.58,2.61
robot_0,1.3,3.55
robot_0,1.78,3.08
robot_0,1.3,3.55
robot_0,3.76,-0.91
robot_0,4.94,2.35
robot_0,2.8,1.0
robot_0,3.36,1.32
robot_0,4.84,1.41
robot_0,4.47,1.47
robot_0,-0.4,0.4
robot_0,1.3,3.55
robot_0,-3.9,-0.7
robot_0,-1.71,3.34
robot_0,3.7,1.9
robot_0,3.36,1.32
robot_0,4.07,0.63
robot_0,4.94,2.35
robot_0,3.36,1.32
robot_0,4.47,1.47
robot_0,1.3,3.55
robot_0,1.58,2.61
robot_0,1.3,3.55
robot_0,1.78,3.08
robot_0,1.3,3.55
robot_0,3.76,-0.91
robot_0,4.94,2.35
robot_0,2.8,1.0
robot_0,3.36,1.32
robot_0,4.84,1.41
robot_0,4.47,1.47
robot_0,-0.4,0.4
robot_0,1.3,3.55
robot_0,-3.9,-0.7
robot_0,-1.71,3.34
